Label,S_Mises,S_S11,S_S22,S_S33,S_S12,S_S13,S_S23
192.0,956.38499999999999,-326.10899999999998,-282.029,425.57799999999997,256.97699999999998,201.874,-141.96199999999999
193.0,963.42100000000005,-296.358,-269.08699999999999,408.27199999999999,243.815,251.822,-164.89400000000001
194.0,964.45600000000002,-271.17700000000002,-264.89400000000001,364.72699999999998,230.75,296.68299999999999,-187.934
195.0,958.85400000000004,-237.63900000000001,-256.09100000000001,308.20800000000003,218.63900000000001,336.05000000000001,-207.238
196.0,955.16700000000003,-250.89099999999999,-304.08199999999999,193.185,202.73400000000001,371.57299999999998,-224.489
197.0,956.18899999999996,-252.27600000000001,-344.17500000000001,91.350700000000003,178.82300000000001,399.25,-246.34700000000001
198.0,955.98599999999999,-177.11600000000001,-306.88799999999998,62.899000000000001,151.03399999999999,418.98599999999999,-266.60300000000001
199.0,957.23900000000003,-41.808300000000003,-221.95599999999999,84.342100000000002,122.54000000000001,436.47699999999998,-276.06200000000001
200.0,961.702,34.666699999999999,-201.49100000000001,47.114899999999999,90.785399999999996,450.19299999999998,-278.84100000000001
201.0,961.89599999999996,98.033600000000007,-187.79499999999999,0.130132,60.645600000000002,453.09500000000003,-279.89600000000002
202.0,956.38499999999999,150.249,-182.43000000000001,-57.4694,36.612499999999997,444.28399999999999,-279.14499999999998
203.0,946.25900000000001,205.56299999999999,-169.38900000000001,-110.023,15.5852,424.95299999999997,-277.52999999999997
204.0,933.75800000000004,244.30699999999999,-166.458,-172.48699999999999,-2.51085,397.50299999999999,-274.84399999999999
205.0,920.44799999999998,284.14299999999997,-155.62100000000001,-224.643,-19.087199999999999,363.411,-271.67200000000003
206.0,906.61699999999996,308.39400000000001,-154.298,-281.51999999999998,-33.997500000000002,323.71499999999997,-267.69299999999998
207.0,893.51199999999994,336.74700000000001,-143.422,-322.77300000000002,-47.9741,280.024,-262.91399999999999
208.0,880.95600000000002,351.28699999999998,-140.268,-365.16800000000001,-61.2393,233.29499999999999,-257.42000000000002
209.0,716.66300000000001,-186.40299999999999,-267.649,244.41200000000001,249.53800000000001,-159.28100000000001,88.473399999999998
210.0,731.15499999999997,-209.31200000000001,-269.74099999999999,269.87200000000001,260.48099999999999,-135.42400000000001,67.800299999999993
211.0,745.26999999999998,-237.072,-277.78899999999999,286.35599999999999,269.42200000000003,-107.011,46.045000000000002
212.0,759.57600000000002,-253.52099999999999,-276.69999999999999,309.041,275.952,-75.186800000000005,22.3218
213.0,773.95100000000002,-274.61700000000002,-282.964,320.65499999999997,279.80900000000003,-39.641599999999997,-2.5893199999999998
214.0,788.54999999999995,-281.40699999999998,-278.33800000000002,338.798,280.82900000000001,-0.95516599999999996,-28.594799999999999
215.0,803.62699999999995,-292.358,-282.00799999999998,344.06799999999998,278.83999999999997,40.542499999999997,-54.991999999999997
216.0,818.54899999999998,-286.35700000000003,-273.334,354.96300000000002,274.399,83.892600000000002,-81.4786
217.0,833.59199999999998,-285.68299999999999,-275.31200000000001,348.851,267.57100000000003,128.58799999999999,-106.971
218.0,845.90200000000004,-265.34100000000001,-262.27100000000002,345.67500000000001,260.14999999999998,172.077,-131.922
219.0,856.05799999999999,-257.05599999999998,-267.39999999999998,313.96199999999999,252.34299999999999,214.876,-154.071
220.0,858.31799999999998,-225.16200000000001,-249.85599999999999,284.36500000000001,246.00200000000001,249.517,-178.489
221.0,856.14499999999998,-219.875,-267.84100000000001,205.541,241.547,282.27100000000002,-195.989
222.0,857.096,-253.55799999999999,-325.58300000000003,87.920199999999994,229.96899999999999,309.75299999999999,-217.35300000000001
223.0,857.19600000000003,-259.09300000000002,-355.142,-2.6906599999999998,210.666,330.74400000000003,-240.74600000000001
224.0,857.71299999999997,-180.50800000000001,-305.04500000000002,-8.8149499999999996,182.42400000000001,349.18599999999998,-260.56
225.0,856.029,-60.703000000000003,-223.20500000000001,20.860099999999999,152.16200000000001,363.95499999999998,-270.56900000000002
226.0,858.34400000000005,21.9161,-194.94499999999999,7.6639499999999998,121.434,377.48099999999999,-271.35399999999998
227.0,857.80499999999995,52.635399999999997,-207.74600000000001,-51.095399999999998,89.665499999999994,380.05799999999999,-274.97199999999998
228.0,849.53899999999999,108.105,-189.613,-88.283299999999997,66.293099999999995,371.14100000000002,-274.80799999999999
229.0,839.04600000000005,150.75800000000001,-179.12799999999999,-134.95400000000001,45.731099999999998,353.988,-274.22500000000002
230.0,825.60500000000002,191.488,-165.80199999999999,-178.452,27.9406,329.09300000000002,-272.05200000000002
231.0,811.41700000000003,214.44200000000001,-164.22900000000001,-230.05099999999999,10.504899999999999,298.73399999999998,-269.37599999999998
232.0,796.56100000000004,243.636,-151.17500000000001,-265.99700000000001,-5.1558099999999998,263.584,-265.58600000000001
233.0,782.65200000000004,259.12299999999999,-148.041,-305.48000000000002,-20.375299999999999,225.76400000000001,-260.58800000000002
234.0,768.68299999999999,278.25999999999999,-135.73500000000001,-329.55099999999999,-34.849400000000003,185.75299999999999,-254.63900000000001
235.0,601.37300000000005,-112.518,-211.63800000000001,240.05600000000001,205.542,-129.197,72.458100000000002
236.0,615.13,-139.43899999999999,-222.547,251.739,216.55799999999999,-109.535,55.563099999999999
237.0,628.678,-156.804,-224.63399999999999,269.714,226.08799999999999,-86.0595,37.507599999999996
238.0,642.52300000000002,-177.90000000000001,-232.08699999999999,279.92899999999997,233.66999999999999,-59.877600000000001,17.523800000000001
